epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.459,1.86242,1.89225,1.55174,0.83953,0.71259,0.80983,0.34974,2.00761,inf,1.42365,0.0033277,0.0033277,0.0033277
2,609.128,1.17171,0.81842,1.11964,0.8851,0.82076,0.89535,0.47896,1.65335,inf,1.23036,0.00660608,0.00660608,0.00660608
3,914.733,1.07133,0.66813,1.04631,0.81572,0.78789,0.88587,0.45444,1.78187,inf,1.28468,0.00982946,0.00982946,0.00982946
4,1209.36,0.99359,0.58667,1.01461,0.85684,0.79313,0.88812,0.40325,2.00335,inf,1.40152,0.0097525,0.0097525,0.0097525
5,1506.01,0.93149,0.53814,0.99351,0.73129,0.79528,0.7849,0.45343,1.51764,inf,1.24356,0.00967,0.00967,0.00967
6,1804.75,0.89958,0.51374,0.98327,0.88156,0.88508,0.93824,0.45976,1.8877,inf,1.39032,0.0095875,0.0095875,0.0095875
7,2094,0.87978,0.49716,0.97652,0.93253,0.92213,0.9692,0.59727,1.40944,0.57723,1.1929,0.009505,0.009505,0.009505
8,2383.13,0.86453,0.48858,0.97234,0.80038,0.85471,0.84627,0.5345,1.32334,inf,1.16827,0.0094225,0.0094225,0.0094225
9,2672.42,0.85212,0.47881,0.96848,0.93377,0.94212,0.97862,0.61881,1.40955,0.55176,1.16185,0.00934,0.00934,0.00934
10,2958.82,0.84333,0.47368,0.96554,0.91556,0.91134,0.96523,0.54293,1.66917,inf,1.30143,0.0092575,0.0092575,0.0092575
11,3245.52,0.83757,0.468,0.96351,0.94757,0.94716,0.98206,0.64406,1.31598,0.51659,1.13589,0.009175,0.009175,0.009175
12,3531.73,0.83087,0.46317,0.96135,0.91391,0.90178,0.95311,0.49573,1.7854,0.67052,1.38976,0.0090925,0.0090925,0.0090925
13,3813.73,0.82355,0.45926,0.95928,0.94574,0.9523,0.98287,0.63921,1.36444,0.51292,1.14654,0.00901,0.00901,0.00901
14,4099.2,0.81886,0.45675,0.95791,0.94064,0.94884,0.9803,0.65179,1.28736,0.55131,1.13675,0.0089275,0.0089275,0.0089275
15,4383.7,0.81327,0.45283,0.95626,0.93026,0.95063,0.9791,0.65402,1.27187,0.54563,1.1341,0.008845,0.008845,0.008845
16,4667.6,0.81027,0.44904,0.95525,0.93922,0.95123,0.97995,0.66918,1.23274,0.49627,1.11443,0.0087625,0.0087625,0.0087625
17,4951.67,0.80603,0.44821,0.95391,0.94244,0.95009,0.98164,0.67973,1.21113,0.48661,1.10724,0.00868,0.00868,0.00868
18,5237.26,0.80257,0.44564,0.95314,0.9466,0.95446,0.98334,0.69822,1.152,0.47106,1.08024,0.0085975,0.0085975,0.0085975
19,5520.55,0.79827,0.44259,0.9516,0.94623,0.95595,0.98332,0.68118,1.21542,0.48031,1.10749,0.008515,0.008515,0.008515
20,5804.34,0.79654,0.44013,0.95054,0.94745,0.95684,0.9846,0.689,1.19229,0.46945,1.09631,0.0084325,0.0084325,0.0084325
21,6088.38,0.79282,0.43971,0.94997,0.95071,0.95641,0.98468,0.69449,1.1727,0.46492,1.08734,0.00835,0.00835,0.00835
22,6372.63,0.79007,0.43699,0.94894,0.94894,0.95674,0.98434,0.69781,1.15955,0.46242,1.08329,0.0082675,0.0082675,0.0082675
23,6657.01,0.78652,0.43431,0.948,0.94788,0.95666,0.98409,0.69081,1.18218,0.46694,1.09368,0.008185,0.008185,0.008185
24,6942.63,0.78454,0.43294,0.94783,0.94983,0.95785,0.9846,0.69659,1.16451,0.46182,1.08818,0.0081025,0.0081025,0.0081025
25,7224.59,0.78205,0.43084,0.94691,0.94948,0.95789,0.9848,0.69049,1.18706,0.46341,1.09782,0.00802,0.00802,0.00802
26,7508.77,0.77943,0.43008,0.9462,0.94911,0.95727,0.98445,0.68419,1.20976,0.47203,1.10762,0.0079375,0.0079375,0.0079375
27,7792.76,0.77805,0.42859,0.94566,0.94903,0.9585,0.98505,0.69094,1.18777,0.46439,1.09721,0.007855,0.007855,0.007855
28,8076.87,0.77481,0.42849,0.94513,0.9502,0.95688,0.98475,0.68546,1.20804,0.46753,1.10682,0.0077725,0.0077725,0.0077725
29,8361,0.77229,0.42645,0.94419,0.95019,0.95717,0.9849,0.68589,1.20796,0.4664,1.10609,0.00769,0.00769,0.00769
30,8644.89,0.76965,0.42292,0.94304,0.94953,0.95841,0.98512,0.68957,1.19613,0.46285,1.1002,0.0076075,0.0076075,0.0076075
31,8928.82,0.76752,0.42149,0.94254,0.94989,0.95851,0.98525,0.6892,1.19797,0.46227,1.10097,0.007525,0.007525,0.007525
32,9213.5,0.76529,0.42093,0.94151,0.95011,0.95878,0.98539,0.68997,1.19639,0.4612,1.09997,0.0074425,0.0074425,0.0074425
33,9496.56,0.76389,0.41842,0.94196,0.95079,0.9588,0.9856,0.69131,1.19329,0.45892,1.09777,0.00736,0.00736,0.00736
34,9780.58,0.76075,0.41814,0.94026,0.95083,0.95885,0.98568,0.69283,1.18792,0.45774,1.09523,0.0072775,0.0072775,0.0072775
35,10064.1,0.75878,0.41532,0.93945,0.95096,0.95871,0.98573,0.69417,1.18353,0.45684,1.09299,0.007195,0.007195,0.007195
36,10347.7,0.75781,0.41496,0.9393,0.95074,0.95834,0.98567,0.69398,1.18405,0.45705,1.09315,0.0071125,0.0071125,0.0071125
37,10632.8,0.75533,0.41486,0.93924,0.95058,0.95798,0.98556,0.69317,1.18693,0.4576,1.09416,0.00703,0.00703,0.00703
38,10917.3,0.75392,0.41338,0.93826,0.94996,0.95669,0.98517,0.68902,1.20074,0.46082,1.09975,0.0069475,0.0069475,0.0069475
39,11197.6,0.7497,0.4113,0.93688,0.94963,0.95578,0.98499,0.68679,1.20808,0.46245,1.10276,0.006865,0.006865,0.006865
40,11481.3,0.74941,0.40981,0.93687,0.94907,0.95591,0.98493,0.68728,1.20649,0.46184,1.10185,0.0067825,0.0067825,0.0067825
41,11765.1,0.74623,0.4089,0.93625,0.94922,0.95556,0.98498,0.68941,1.19911,0.46018,1.0982,0.0067,0.0067,0.0067
42,12048.3,0.74263,0.40735,0.9349,0.94871,0.95527,0.98492,0.69019,1.19622,0.45951,1.09659,0.0066175,0.0066175,0.0066175
43,12331.5,0.74293,0.40649,0.93465,0.94939,0.9542,0.98487,0.69154,1.19134,0.45862,1.09419,0.006535,0.006535,0.006535
44,12615,0.74054,0.40539,0.93404,0.94993,0.95293,0.9848,0.69244,1.18845,0.45782,1.09272,0.0064525,0.0064525,0.0064525
45,12896.5,0.73727,0.40464,0.9331,0.95034,0.95201,0.98471,0.69337,1.18506,0.45735,1.09127,0.00637,0.00637,0.00637
46,13181.3,0.73558,0.40223,0.93233,0.95056,0.95091,0.9845,0.69347,1.18481,0.45764,1.09087,0.0062875,0.0062875,0.0062875
47,13466.5,0.73348,0.40212,0.93209,0.95103,0.95009,0.9844,0.69344,1.18531,0.45777,1.0906,0.006205,0.006205,0.006205
48,13749.8,0.73278,0.40088,0.93145,0.95123,0.94923,0.98427,0.69454,1.18142,0.45728,1.08861,0.0061225,0.0061225,0.0061225
