epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.095,1.84783,2.06905,1.55142,0.48332,0.70903,0.5273,0.19883,2.22388,inf,1.57912,0.00332791,0.00332791,0.00332791
2,618.81,1.13611,1.06111,1.12103,0.90568,0.8414,0.92488,0.46391,1.81179,inf,1.34856,0.00660629,0.00660629,0.00660629
3,933.515,1.01849,0.78904,1.03138,0.37193,0.27485,0.26125,0.12797,2.12983,inf,1.4871,0.00982967,0.00982967,0.00982967
4,1236.33,0.93772,0.69299,0.99763,0.78362,0.73715,0.79141,0.32265,2.19115,inf,1.565,0.0097525,0.0097525,0.0097525
5,1545.53,0.87661,0.63546,0.97554,0.53418,0.4756,0.41337,0.12623,2.68607,inf,1.85456,0.00967,0.00967,0.00967
6,1846.85,0.84714,0.61042,0.96564,0.78416,0.69022,0.80467,0.44924,1.60059,inf,1.26037,0.0095875,0.0095875,0.0095875
7,2156.4,0.82746,0.58981,0.95875,0.52855,0.40152,0.42962,0.16736,2.36518,inf,1.5828,0.009505,0.009505,0.009505
8,2451.84,0.81476,0.57791,0.95437,0.90408,0.85649,0.92849,0.42394,2.0125,inf,1.51845,0.0094225,0.0094225,0.0094225
9,2759.86,0.8035,0.56913,0.9511,0.35475,0.27311,0.16958,0.05686,2.60447,inf,1.7519,0.00934,0.00934,0.00934
10,3071.05,0.79641,0.5591,0.94814,0.21534,0.10478,0.04326,0.01513,2.84605,inf,1.85578,0.0092575,0.0092575,0.0092575
11,3363.67,0.78952,0.55147,0.94603,0.93862,0.93136,0.9757,0.59442,1.47405,0.57381,1.2195,0.009175,0.009175,0.009175
12,3652.4,0.78252,0.54559,0.94431,0.94729,0.94699,0.98247,0.63134,1.36705,0.52352,1.16425,0.0090925,0.0090925,0.0090925
13,3940.16,0.77573,0.53937,0.9424,0.94969,0.94926,0.98401,0.77927,0.86022,0.42477,0.96171,0.00901,0.00901,0.00901
14,4227.53,0.77109,0.53496,0.94101,0.95089,0.95415,0.98557,0.63719,1.38694,0.51417,1.15927,0.0089275,0.0089275,0.0089275
15,4515.28,0.76714,0.52898,0.93984,0.94294,0.9485,0.98138,0.64082,1.33106,0.53517,1.1508,0.008845,0.008845,0.008845
16,4802.03,0.76215,0.52436,0.93848,0.94198,0.94525,0.98233,0.61909,1.41765,0.53725,1.19816,0.0087625,0.0087625,0.0087625
17,5088.93,0.75893,0.52143,0.93772,0.94787,0.95516,0.98525,0.66912,1.25618,0.48945,1.11389,0.00868,0.00868,0.00868
18,5376.02,0.75444,0.51787,0.93647,0.94958,0.94866,0.98431,0.62508,1.41941,0.5255,1.19458,0.0085975,0.0085975,0.0085975
19,5662.4,0.75184,0.51315,0.93527,0.94277,0.95291,0.98362,0.64875,1.32994,0.51268,1.14999,0.008515,0.008515,0.008515
20,5951.19,0.74816,0.51141,0.93465,0.94905,0.951,0.98481,0.65418,1.32457,0.50213,1.1426,0.0084325,0.0084325,0.0084325
